"period","stateid","price","sales"
"2018-04","WY",8.15,"1347.46637"
"2018-03","AK",19.02,"535.54142"
"2018-03","AL",9.36,"6713.36877"
"2018-03","AR",8.19,"3650.1076"
"2018-03","AZ",10,"5267.59071"
"2018-03","CA",15.42,"21509.26676"
"2018-03","CO",9.62,"4445.07945"
"2018-03","CT",18.21,"2264.18494"
"2018-03","DC",10.77,"951.75291"
"2018-03","DE",10.27,"957.29834"
"2018-03","ENC",10.04,"45957.98635"
"2018-03","ESC",9.21,"23711.91935"
"2018-03","FL",10.32,"16998.28686"
"2018-03","GA",9.26,"10113.21559"
"2018-03","HI",29.01,"735.12339"
"2018-03","IA",8.34,"4144.59426"
"2018-03","ID",8.18,"1793.56858"
"2018-03","IL",9.36,"11025.2868"
"2018-03","IN",9.63,"8382.57765"
"2018-03","KS",10.46,"3060.46829"
"2018-03","KY",8.3,"6091.51127"
"2018-03","LA",8.01,"6562.50639"
"2018-03","MA",19.03,"4116.46873"
"2018-03","MAT",12.02,"29702.01999"
"2018-03","MD",11.3,"5231.41119"
"2018-03","ME",15.06,"946.63334"
"2018-03","MI",11.42,"8396.4597"
"2018-03","MN",9.84,"5724.37939"
"2018-03","MO",9.28,"6146.13369"
"2018-03","MS",9.4,"3584.75381"
"2018-03","MT",8.87,"1273.94391"
"2018-03","MTN",9.07,"20953.77591"
"2018-03","NC",9.02,"10461.51391"
"2018-03","ND",8.71,"1795.71216"
"2018-03","NE",8.99,"2495.40844"
"2018-03","NEW",17.95,"9262.33375"
"2018-03","NH",16.97,"889.2775"
"2018-03","NJ",12.73,"5824.25888"
"2018-03","NM",9.29,"1789.54176"
"2018-03","NV",8.39,"2634.83354"
"2018-03","NY",13.79,"11592.35718"
"2018-03","OH",9.86,"12428.55211"
"2018-03","OK",7.98,"4535.30906"
"2018-03","OR",8.93,"4185.51838"
"2018-03","PA",10.02,"12285.40393"
"2018-03","PACC",12.88,"33825.07206"
"2018-03","PACN",24.8,"1270.66481"
"2018-03","RI",17.8,"587.68815"
"2018-03","SAT",9.75,"63412.72197"
"2018-03","SC",9.64,"5966.17933"
"2018-03","SD",9.59,"1113.0535"
"2018-03","TN",9.72,"7322.2855"
"2018-03","TX",8.23,"29675.13733"
"2018-03","US",10.34,"296999.30431"
"2018-03","UT",7.83,"2309.63835"
"2018-03","VA",9.4,"9666.18054"
"2018-03","VT",14.97,"458.0811"
"2018-03","WA",8.19,"8130.28691"
"2018-03","WI",10.32,"5725.11009"
"2018-03","WNC",9.34,"24479.74972"
"2018-03","WSC",8.17,"44423.06039"
"2018-03","WV",8.89,"3066.8833"
"2018-03","WY",8.25,"1439.57961"
"2018-02","AK",18.87,"550.13723"
"2018-02","AL",9.33,"6586.13724"
"2018-02","AR",8.28,"4005.06461"
"2018-02","AZ",10.11,"4865.99566"
"2018-02","CA",15.46,"17968.25944"
"2018-02","CO",9.66,"4212.70764"
"2018-02","CT",18.66,"2188.12073"
"2018-02","DC",12.39,"827.95449"
"2018-02","DE",10.91,"909.85491"
"2018-02","ENC",10.14,"44619.47943"
"2018-02","ESC",9.24,"25005.86556"
"2018-02","FL",10.73,"16740.14099"
"2018-02","GA",9.07,"10129.86439"
"2018-02","HI",28.1,"679.84552"
"2018-02","IA",8.35,"4148.88659"
"2018-02","ID",8.36,"1756.36953"
"2018-02","IL",9.27,"10975.7779"
"2018-02","IN",9.61,"8211.36271"
"2018-02","KS",10.58,"3111.38561"
"2018-02","KY",8.63,"5950.43999"
"2018-02","LA",7.55,"7263.61507"
"2018-02","MA",19.27,"4211.85547"
"2018-02","MAT",12.57,"29891.2644"
"2018-02","MD",12.04,"4738.64968"
"2018-02","ME",14.29,"993.72448"
"2018-02","MI",11.47,"8048.64789"
"2018-02","MN",10.03,"5511.13927"
"2018-02","MO",9.04,"6559.982"
"2018-02","MS",9.4,"3926.2055"
"2018-02","MT",8.67,"1323.37461"
"2018-02","MTN",9.11,"19988.37151"
"2018-02","NC",9.57,"10222.27581"
"2018-02","ND",8.6,"1844.6635"
"2018-02","NE",8.36,"2515.09471"
"2018-02","NEW",18.23,"9272.81677"
"2018-02","NH",17.51,"869.84293"
"2018-02","NJ",13.46,"5633.43434"
"2018-02","NM",9.05,"1734.17781"
"2018-02","NV",8.41,"2446.58729"
"2018-02","NY",14.35,"11929.24774"
"2018-02","OH",10.15,"11800.51252"
